index,query
2099,do you open at 9?
937,i need information on when to expect delivery of my order
1870,can you please tell me about the delivery options and shipping plans that are available to me?
1011,how shipped and when delivered?
1190,can i sneakers
951,i plaved my order last saturday so when will i receive it?
349,i should have gotten my order by now.
1716,how can i change the delivery address on my order?
1169,are you have watches?
146,do you have a cancellation fee in your policy?
1040,cannot find check order status and confirmation of shipping.
1456,do any of your local stores have this item in stock today?
1733,i need to change the address for the order i just placed.
1347,wondering when the lg v30 will be available in stores.
933,just order iphone 7. when it will get delivered?
1663,my shipping address is 5/27 local street
1626,please show me the reviews for this hat
969,how long till it gets here?
608,i have ordered a wrong size
869,my order was just placed online. can you let me know what my confirmation order is.
1932,locate a store?
1188,can i show my t-shirts?
1607,i want to know about customer review so are you ready to explain?
1480,are the s8s available in store because theres nothing available online.
766,how do i add more shirts to my cart?
964,id greatly appreciate any updates on the status of the order and any estimates on a delivery date. thanks so much for your help.
1298,want the see bottoms
1173,can i everyday in sneakers?
1435,please check my phone
621,i need to change an order i made.
499,my package was supposed to arrive 2 days ago
309,my order is late. can you tell me when it will show up?
1917,do you know store in san francisco
310,i placed an order a while ago but it has not been processed. can you tell me when it will be ready?
729,the purchasing materials how to update and remove the existing material on my cart
1728,that is the old address we had is there any way u can change it for me
827,please verirfy the status of my order for 2 new handset and sim card.
1104,id like to check on the expected delivery date of my order.
1948,can i get location of that store?
1958,d you know get location?
1080,ok my phone i order for 9606 has been shipped can you tell me status of the phone i ordered for 9600
377,i recently ordered a phone from you but it hasnt arrived. when can i expect to receive it?
1242,"i like to buy bags ,can to help me to buy with latest variety and trends with day to day life activities."
1550,can i see the top five reviews for this handbag?
1858,why is the shipping cost of my phone higher than what i was quoted previously?
751,i seem to have ordered the wrong size product
782,can you check my order status
851,can you tell me the status of my order?
1911,how to know many stores do you have in new york?
1345,when will 4g lte be available in my area?
442,"hi i placed a order for a pair of jbl headphones 2 wks ago and i haven't received them yet,"
929,when will you deliver the package to our business address?
1102,where is my phone?
2108,when do you open shop? i see your's is the only shop which opens so early in the morning. that's great. i shall visit you soon.
1581,reviews of sneaker?
1597,what kind of feedback have you gotten on this item
2135,do you open early on black friday?
496,i should have received my order on tuesday and it has still not arrived
558,i just placed an order and i would like to know if it still can be customized?
1035,can you check if my pre order iwatch is still getting here soon?
213,please do not send this order because the wedding was cancelled so we do not need the wedding gift.
1211,"do you have branded dress materials like t-shirts ,jeans"
117,i have a order apple watch series 3 which i want to cancel
840,confirm delivery date of my order
1138,can you tell me what method of delivery and what date i can expect product.
612,i have already placed an order and would like to alter it
2166,what are your hours of operation?
1234,how to i want bought the latest trend in bags?
1740,due to some emergency i am going my hometown.can you please deliver my product at my home town?
1676,hello can i changed my orders shipping address?
181,i have changed my mind about the iphone i ordered. can it be cancelled
715,"i want to update my cart to show that i am keep all my clothing selections, except for the grey suit."
81,do i cancel?
92,how can i cancel my order?
1326,are there any iphone7s left?
1387,show me a different kind of modern dress for men apparels in you shop
1172,can i bought the see bottoms
661,alter an order?
550,i would like to alter the order i placed this morning
1692,can you change my delivery address to the nearest fedex store
177,i want to cancel the order i have just made
196,by any chance can i cancel an order that i have already placed?
979,how long does it take for a processed order to be shipped?
29,i accidentally included an extra orderd which i did not require
1935,can i get locaition?
1810,do you have delivery options where i can place an order and receive it within the same day?
1478,will this item be available again or will it be replaced by another item?
1537,is the iphone 8 available? how many gig? thanks for the info.
62,please guide me how to cancel. would you do it for me?
2212,do your stores open and close at the same time at every location?
732,updation of cart
1120,i cant locate the tracking info for my recent order.
512,"hi, i just got the new phone and also ordered the new apple watch. the girl who helped me at t-mobile promised it would be here before i left for this big trip in 10 days but i noticed the delivery date is not until november is there anyway to expedite this"
2075,what kind of store hours do you have?
1579,review of customer?
852,has there been any updates on the status of the order?
233,when i cancel this
428,why hasnt my order shipped yet?
1773,can i place an order for same day delivery?
2165,ill what time will you guys be open today?
1300,watch is there
1966,how do i get there?
485,my order status has said pending for several days
1451,is that product available for purchase?
1482,can you tell me if tmobile stores sell refurbished phones or is that only online?
457,i placed an order for the iphone 8 plus 256gb but i haven't heard from you. any idea how it take to get this device?? my # 951-317-3961
1073,i would like to confirm my order for a new iphone plus and find out when i can expect delivery
984,what is the shipping status of my current order?
847,can you give me an update on when my order will ship?
1575,please describe about customer review?
1192,"can you please tell me, how to see my bottoms now?"
641,could i make changes to my order? i need to change the size.
2170,excuse me. what your weekend hours?
494,i was supposed to get my order on last sunday
1553,can i show my reviews?
920,what is the eta for my order?
279,i want to cancel one order which i placed by mistake
843,can you tell me when my order will get here?
234,which category of order is it allowed to be cancelled?
1247,i need a i phone 7plus
2078,are all of your stores' hours the same?
1051,"hi, when will i receive my apple watch .. i placed the order on 9/19 and it going to be a month soon ..order number 5170323549 .."
253,how can i cancel an order that i placed yesterday but no longer need?
430,why am i getting an error when i track the status of my order?
797,i recently placed an order and want to know when i can expect it to be delivered.
815,cant you just check on the status and tell me?
1492,you guys still have the zmax pro? i thought they were out of stock?
1327,are there any more iphone 7 on order for your store?
2064,are the times the same on the weekends as on the weekdays?
918,what is the expected day of delivery for my recent order?
1385,"i'm looking to purchase a new pair of jeans, and i would like to see what kind of a selection you offer."
1277,please send me the link to your womens t-shirts section.
222,what will it cost to cancel now?
1258,i want watches now?
817,i ordered a new phone on saturday and still can not trace the shipping status. please check it for me.
1619,will you please help me by showing me the customer reviews for this belt
1450,are the phones available
901,it has been several days since i placed my order. i still havent got my order status.
1842,delivery and shipping plans information.
1950,where is your store in san francisco
1123,im trying to get an order status on a recent order.
604,i have placed an order and i would like to change it. how can this be done?
194,can i cancel my order online or do i need to talk to a representative?
2002,what time do you open and close?
1199,can you show me the types of bras your store sells?
881,i have been waiting on this purchase passed its delivery date
97,i placed and order and i want to cancel
2019,what time does your store open?
1839,tell me the cheapest and the fastest shipping plan ?
317,can you let me know why i havent gotten my order.
182,is it possible to cancel my order if i placed it within the last 24 hours?
589,i want to change the color of the item i ordered from black to white.
2089,when are you guys closing today?
967,where can i find the location of my order?
1335,do you have a new iphone 7plus 32gb not pre-owened ?
167,i really need to cancel an order i just placed
1817,what are the available delivery plans that you have?
2176,what are your hours today?
705,i don't want three sweaters in my cart anymore. how do i change it to two?
803,how can i check the status of my order?
1461,can you check availability on a product that is out of stock for me?
230,need to know cancellation policy
1564,i want a top reviewed product. could you direct me to one with greater than 3 stars?
46,can my order be cancelled as its taking too long to be delivered
2076,what time do your stores usually open?
1977,can you inform me of the hours of operation?
952,i want to know when my order will be processed. can you tell me when this phone will be in stock again and my order will go through?
1239,i have been trying this look latest trend in bags?
980,what is my order delivery date
131,i no longer want this item and would like a refund
649,would you be able to help me modify the order i just place?
1495,when will the item be available?
2027,what are saturday's store hours?
1792,do you offer a shipping method that will get me my order in exactly three days?
791,when is expected delivery date of my order?
168,can you cancel that for me? or i need to call 611 ?
154,if i cancel an existing purchase
544,i just bought [name of product] from you guys and i was wondering if it was possible for me to add another set to my order
821,need order delivery update.
1204,current dresses?
192,can you le the know what your order cancellation policy is?
278,i placed an order an hour ago but i changed my mind so how do i cancel it?
507,how come my order hasnt been delivered yet?
832,good morning kimberly
1337,is there anyway you can get me an iphone7? they are showing as out of stock.
915,when will it be here?
2092,what are you business hours?
1946,can i get location of your store?
580,i seem to have ordered the wrong size product
878,can you track the shipping
1528,it says here that the phone i want to order is out of stock. when will it be available again?
1548,can i reviews in air force?
1922,i want to find a store big enough to buy whatever i want. please tell me how to get there.
188,do you charge for cancelations?
884,is it possible for me to receive the phone today?
1445,just wanted to know if my phone made it to the store today?
1724,"i placed an order yesterday and was trying to get the tracking number if possible, so i can change shipping address."
1399,do you have any fashionable shirts that were featured in cosmopolitan
2196,when are the operating hours of your business?
1772,can i get faster shipping?
1262,i would like to see some dresses.
1109,can someone time me when i will get my phone plz
1570,i'm interested in the reviews on this product.
1938,where is los angeles store
2167,how late will you be opened?
2190,what's the closing time of the stores?
1511,when do you expect having that phone available?
1701,i would lie to have my order shipped to a different address than the one that it is currently set to be shipped to
1219,find leather shoes?
30,are their any cancellation fees?
275,what do i need to do to cancel what i ordered?
1091,what is the status of the apple watch i ordered? thank you.
1296,so can we begin to order the phone or what
516,i need my phone on today
1429,when will it be back in stock?
747,can i customize my order before its shipped?
1936,in new york how many stores do you have?
1317,best shirts available
910,i ordered a new charger last week and when will it arrive?
221,what will i be charged if i cancel my order now?
708,i made a mistake and need to remove the pants from my cart. can you explain how?
2102,could you tell me at what time do you your stores open in the morning and close in the evening?
2059,do your stores remain open during the noon hour?
419,why is the delivery taking so long?
187,is there a place to cancel an order on your website so i dont have to call and wait on hold forever next time?
169,i actually changed my mind about my order. can i cancel it?
989,where can i check my order status?
11,is there a cancel fee or something if i cancel today
2210,could you tell me when your store is open?
163,can i cancel today?
370,my orders pending
183,i placed an order with you but have decided i didnt want it. can you please cancel my order?
1464,can you check to see if the phone is available at a physical store?
2021,could you please tell me what time you will open today.
1623,do these sunglasses have good reviews from customers
274,if i needed to cancel the order how would i go about that and what are the limitations?
294,i have never received a notification of my order status. could you tell me what it is?
2124,how early is your store opening at the mall in cherry hill?
391,when will my order be processed and sent to me after it has een restocked?
492,my order is not on time
2117,what are the store hours of your new york locations?
1013,i placed an order last week on wednesday and was wondering if you could tell me when i can expect my delivery.
757,what are my options for custom orders?
1318,can you please show me all of your dresses
1436,checking to see if a store has a phone or not in stock.
742,i need to make a change in the order that i placed.
1198,can you show me the sneakers you offer in size 6.5?
1288,show me watches
972,what is the turn around time to receive my phone?
197,is it too late for me to cancel the order i placed this morning?
1943,where is your store located?
1008,when will you deliver my last order?
1175,can i me sneakers?
514,"i had this order number 1170472871, but i was not able to track the order for some reason."
1059,i meant to check the order and see what was ordered?
489,i paid for shipping fast and i still dont have my order.
1947,can i get location of the store?
551,can i change the accessories in my order?
1231,how do i search for plus sizes?
170,if i cancel my order
922,when will it arrive?
1613,show reviews for leather shoes.
1470,your local website ran out of the iphone7
534,alter my order
731,update quantity in cart.
1166,what about the order of the phones
982,what is the order status of my package?
1834,how much shipping costs?
2085,what time will you guys be open today?
1074,i would to check the status on an apple watch order
1723,i have a pending order for an apple watch and i was wondering if i could change the address
1568,"i would really happy that if you find oout the reviews of mens cloths ,if yoou could help me in the process it will be better to purchase the cloth as per the reviews."
1016,how much time will it take to get my product
1680,can i change the shipping address on my order?
1448,is the lg v10 still available?
2112,are you open on weekends?
642,i ordered the wrong color
613,change order to only one
115,please cancel my last order manually be the website is not processing cancelled orders at the moment.
1378,i would like to know if i can order the zte max phone
1809,is there a way to receive the order the same day its placed?
1394,what sneakers are in 6.5?
1265,i'd like to see the latest platform heel shoes for women.
958,i havent received my order yet
2110,inform me about your store timings.
1149,checking on order
151,could you cancel the order for a samsung galaxy on my account please.
924,when will my package arrive?
57,hi how much does it cost to cancel service ?
577,i would like to alter something in my last order
1591,what people like this product?
452,i ordered an iphone last week but never received tracking info. was supposed to arrive today but hasn&rsquo;t.
710,"i purchased more item but i want remove some items ,isearched in internet ,but i didnt found the result ,can you please guide how to remove the items from my cart"
728,the different quantity change pair of socks in my cart ?
703,i accidentally added two mini drones into my cart instead of 1. how can i change the quantity to 1?
1333,i would like to order an item that is currently out of stock
653,i chose the wrong size when i placed my order. can i still make changes?
1934,can i know your store in san francisco?
1818,i want to find you about the different delivery and shipping options that are available.
2007,what is the earliest your store opens?
877,could you please take a moment and update me on my order
2147,what are your hours of operation today?
1988,how late do your stores stay open until on tuesday's.
1163,i see the order is still in progress and has yet to ship
1659,change address
2105,how late is your nyc store open on black friday?
475,this is beyond insane i'm not signing for a third time. these phone should of been send out since friday
1084,phone tracking
1590,what is the customer review?
1848,please explain the delivery plans that you offer.
2063,what time is your store close?
671,i was wondering if i could make a change to my order.
555,can i still change my order as per my preferences?
1774,can i place this order and get delivery today?
1287,show me t-shirts?
74,cancel the order
300,why is it taking so long?
1775,can i place an order and receive it at the same day
743,are there any other customization options available for this item?
1178,can i see t-shirts?
1895,how to find your store and how many stores do u have?
1291,show my t-shirts?
627,are modifications still allowed?
2015,when do you open and close today
214,i decided i dont want these shoes so you gotta stop the order.
719,please remove the button-down shirt from my cart
1508,when is it coming? new iphone 8
112,im going to have to cancel the order i placed.
1666,please update the delivery address
885,can this order be sent to me today?
1228,how do i navigate the search for a specific product?
164,does mr. john cancelled the 3 phones we order last week?
1620,can you tell me about the customer reviews for this dress
1897,portland store location
1159,i ordered for 2 iphone 8plus but i never seen nothing
67,can i cancel my current iphone order and get the black one. says it's not on back order for space grey
905,what is the expected date this order will be available?
1279,plus size search?
581,alter an order?
2186,is your store open seven days a week?
396,i signed a deal to get a free tablet and it never came. where is it?
332,my order status is still at pending
1238,i have been struggling to find the sweaters. is there any way you could assist me?
1401,where are the sneakers? you sell watches? latest handbags can be found where
36,i am quite certain that i am going to cancel with you.
776,i need the delivery date for my order.
634,can i still change my order as per my preferences?
1230,how do i search for platform shoes?
1830,how much is the delivery charge?
986,i need information on my order status
2180,when do you open on christmas eve?
1283,show in sneakers?
176,can you look at my account and see if you can cancel my most recent order?
360,i dont know if my order has processed as i have received no confirmation.
1329,is there any other place i can buy the iphone7 since you are our of stock?
1691,can i pick up the order at a local store instead?
1682,i believe my most recent order will be shipping to the wrong address
502,when will my item be shipped?
245,what are the charges encase i want a refund if i cancel my order
1665,i need to change the address that my order is being shipped to
2197,i was wondering what time the closest store located to me opened today?
1453,are all the iphone7s really out of stock?
700,how to remove the item from my cart
646,can i change the number of the products that i ordered?
1849,i need the details of delivery and shipping plans because i would like to place an order with your company
1835,what are your shipping costs and delivery schedule?
893,our company didnt receive the new phone we order last week.
1446,ok. is there coral blue available
1009,what is my orders expected delivery date?
1657,i placed an order with you but i need to change my address. how can i do that?
451,i ordered an apple watch 3 on friday and when i try to look up the order status it's not available.
660,i need to make some changes on the order i placed earlier
537,i need help to customize my order.
914,i know theres no way of knowing exactly because of the shipping type i have chosen
1266,i'm curious what dress styles you have
1217,dress options
12,please cancel my order
143,i ordered the red phone and just now realize my daughter is going to hate it
1369,how to choose the better quality?
1391,sneakers you have
1845,get me the details of delivery plans you have
2071,do your stores have different hours in the winter?
1717,kindly let me know how i can change the delivery address for my last order.
814,answer my order status request please?
1985,what are your hours over christmas?
576,i would like to alter my last order
2095,is there a schedule of your hours available online?
1625,will you please help me by telling me what other customers have said about these sunglasses
365,my order status shows pending when will it get ship?
2098,what time do y'all close today?
1583,what about customer review?
1076,is there a way i can find the location where the cell phone is actually located?
2206,what time do you guys close?
416,why is my order still pending?
528,can i modify an order?
239,if i cancel my order today what will it cost me?
263,how do i cancel my new smartphone order which i made erroneously?
1637,product feedback
987,any updates on my order status?
1804,can you give me more information about your shipping plans?
1714,how do i change the ship-to address
304,i should not have to call multiple times for a simple status update on the order i havent received yet!
1421,"i need fancy dress shoes for my wedding, size 9 in men's, colors black, red, and blue"
107,cancel that order thanks.
1521,and what are all the colors available?
1353,are you show your t-shirts?
1049,"hi, i was wondering if you could please check to see if order number: s035585912 has shipped yet"
762,can i remove one of the silver earrings from my cart?
1572,list reviews for these jeans
34,is there a fee for cancelling an order?
1285,show me heels.
2207,how late is the store open on sunday?
1706,i was wondering if i could modify the delivery address for the order i placed because i will be out of town next week?
118,i no longer need the items in my last order and wish to cancel it at this time.
331,can you please really take some time to help me know my order status or should i just cancel it?
1582,show me the air force?
941,when should i expect my order to be delivered?
2036,can i call the local store and find out the store hours?
1758,id like to change something in my order. is that possible?
35,can i cancel my order over chat
904,has my phone been shipped?
947,i will be going on vacation soon and i want to make sure my package is delivered before i leave
1106,would you give me an update on order reference 12345
1280,same sneakers?
1158,i ordered a phone and i wanted to see if could see the tracking information?
648,are there any customization options on the order i just placed?
611,i ordered the wrong color. can i change my order?
1143,how can i track the dates to see how far it is before i receive my package?
1840,information about shipping plan
1734,i need it shipped to my other address 771 pablo silvas socorro
204,if i cancelled my order do i get my money back instantly?
1631,can you show me customer reviews for these pants
874,i still have not received any notifications about my order. can you help me find the status of it
845,can you please provide an estimate of when my phone will ship and/or arrive?
288,why did i get charged after i cancelled the order?
1997,when do you open?
1892,i would like to come to your location in person. can you tell me the address of the store on the east side of cleveland?
173,can you cancel my order for me or do i have to fill out a form online?
125,i would like to cancel an order that i have placed.
1742,i placed an order yesterday not knowing ive got to go out of town during the time it is supposed to arrive so can i change the address where the order is to be delivered?
1244,i like to buy t-shirt can you please shoe the brandedand offer t-shirts with good price
1670,if they were not ship can they use an alternate address
1694,can i get information on how to change my shipping address on an order already placed?
1398,what are the hottest shirts available for purchase
698,how many change the quantiy of pair of socks in my cart ?
352,i have two emails from you saying that my order was shipped and would arrive yesterday
410,why is my order processed but not shipped out?
2201,what time does your store close in the evening?
1096,has my order shipped yet?
498,my order is in pending state what are the shipping updates
610,am i able to make changes?
338,so i wont get my phone til the 18th?
1713,i have placed an order and want to change where it will be shipped
1269,"i've been searching everywhere for a nice pair of jeans, can you show me what jeans you have available?"
4,hello i have already returned the pink iphone 8 and just want to make sure that mobile is not going to send me another one. looking at my account activity it looks like mobile thinks i want another one of the same iphone 8 (it says gold but really pink) can you confirm that this order was canceled.
231,any penalties for cancelled order?
228,tell me more about order cancellation.
257,i have changed my mood
1527,i was told that the phone i ordered wasnt in stock
764,change quantity of items in my cart?
1132,when will you send my item?
1324,is this phone available?
1372,i have watches?
519,so my order is not coming next monday
938,on what date can i expect my order to arrive?
109,i found the samsung galaxy much cheaper at best buy so i need to cancel my order from telecom.
993,i am going on holiday and really need to have my phone before i go
615,change quantity of my order
1600,bring up reviews of nike hi tops
1602,can i see customer review?
1250,i want ot know the product of watch with branded and offer price for the watch .
1028,how am i supposed to track my order?
210,sorry for the inconvenience
1693,is there a way to change the shipping address on the order i placed this morning?
688,current updation of product cart
586,i was contacting you because i recently made an order and want to make some changes.
720,please update my cart.
1181,can i see your t-shirt now?
994,i have been inquiring about my package for last 2 days
1203,could you tell me which of the watches is the one still in back order?
800,where is my package right now?
1254,i want to see platform heels.
335,my order ought to have been here by now?
